"row_no";"threat_id";"top_level_group";"asset_group_code";"method_code";"asset_group_name";"threat";"attack_method";"passport_asset";"flow_ids";"actuality";"coverage_mode";"emulation_profile";"native_anchor";"project_rules";"component_note"
"128";"УБИ.2.3.24";"2";"3";"24";"Периферия / навигация / исполнительные каналы модели";"Угроза несанкционированного доступа к периферийному оборудованию за счет физического воздействия";"Нарушитель воздействует на периферия БАС: датчики, GNSS-модуль, камера, ESC, исполнительные устройства. Способ: СП.24 Физическое воздействие. Техники: СП.24.2 Внесение изменений в конфигурацию на уровне оборудования. Компоненты: К.2.3.1 Система хранения данных; К.2.3.2 Съемный машинный носитель информации.";"Категория «периферийное оборудование» есть в docx; в файлах проекта отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels";"F5, F6";"Условно актуальна";"proxy_emulation_with_component_gap";"peripheral_navigation_proxy";"scenarios/attack_navigation_excursion.py";"position_jump, gps_degraded, health_loss, battery_low";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"129";"УБИ.2.3.25";"2";"3";"25";"Периферия / навигация / исполнительные каналы модели";"Угроза несанкционированного доступа к периферийному оборудованию за счет атаки на системы с распределенным реестром";"Нарушитель воздействует на периферия БАС: датчики, GNSS-модуль, камера, ESC, исполнительные устройства. Способ: СП.25 Атаки на системы с распределенным реестром. Техники: СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра; СП.25.4 Атаки на услуги системы с распределенным реестром. Компоненты: К.2.2.8 Сетевой интерфейс; К.2.3.1 Система хранения данных; и др..";"Категория «периферийное оборудование» есть в docx; в файлах проекта отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels";"F5, F6";"Условно актуальна";"proxy_emulation_with_component_gap";"peripheral_navigation_proxy";"scenarios/attack_navigation_excursion.py";"position_jump, gps_degraded, health_loss, battery_low";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"130";"УБИ.2.3.26";"2";"3";"26";"Периферия / навигация / исполнительные каналы модели";"Угроза несанкционированного доступа к периферийному оборудованию за счет воздействия через системы хранения и резервирования данных";"Нарушитель воздействует на периферия БАС: датчики, GNSS-модуль, камера, ESC, исполнительные устройства. Способ: СП.26 Воздействие через системы хранения и резервирования данных. Техники: СП.26.1 Воздействие на поставщика услуг системы хранения данных; СП.26.4 Удаление (изменение, шифрование) данных в системе резервирования; и др.. Компоненты: К.2.3.1 Система хранения данных; К.3.1.1 Проводной канал передачи данных; и др..";"Категория «периферийное оборудование» есть в docx; в файлах проекта отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels";"F5, F6";"Условно актуальна";"proxy_emulation_with_component_gap";"peripheral_navigation_proxy";"scenarios/attack_navigation_excursion.py";"position_jump, gps_degraded, health_loss, battery_low";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"131";"УБИ.2.4.1";"2";"4";"1";"Хранилище конфигурации, миссии и журналов";"Угроза несанкционированного доступа к устройству хранения данных за счет эксплуатации уязвимостей";"Нарушитель воздействует на хранилище журналов полета, параметров, резервных копий или SD-карта. Способ: СП.1 Эксплуатация уязвимостей. Техники: СП.1.1 Эксплуатация известных уязвимостей; СП.1.2 Эксплуатация уязвимостей ""нулевого дня"". Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма).";"sim_stack.json; gz_x500_model_spec.json; telemetry.jsonl; protocol_events.jsonl; security_events.jsonl; параметры PX4; миссия PX4";"F8, F10";"Условно актуальна";"proxy_emulation";"storage_integrity_proxy";"scenarios/attack_mission_overwrite.py";"mission_write_attempt, mission_plan_changed, px4_param_changed";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"132";"УБИ.2.4.2";"2";"4";"2";"Хранилище конфигурации, миссии и журналов";"Угроза несанкционированного доступа к устройству хранения данных за счет использования недостатков конфигурации";"Нарушитель воздействует на хранилище журналов полета, параметров, резервных копий или SD-карта. Способ: СП.2 Использование недостатков конфигурации. Техники: СП.2.1 Использование недостатков, связанных с неполнотой проверки вводимых (входных) данных; СП.2.2 Использование недостатков, связанных с управлением учетными данными; и др.. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.2.3.1 Система хранения данных.";"sim_stack.json; gz_x500_model_spec.json; telemetry.jsonl; protocol_events.jsonl; security_events.jsonl; параметры PX4; миссия PX4";"F8, F10";"Условно актуальна";"proxy_emulation";"storage_integrity_proxy";"scenarios/attack_mission_overwrite.py";"mission_write_attempt, mission_plan_changed, px4_param_changed";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"133";"УБИ.2.4.3";"2";"4";"3";"Хранилище конфигурации, миссии и журналов";"Угроза несанкционированного доступа к устройству хранения данных за счет использования недостатков архитектуры";"Нарушитель воздействует на хранилище журналов полета, параметров, резервных копий или SD-карта. Способ: СП.3 Использование недостатков архитектуры. Техники: СП.3.1 Эксплуатация недостатков незащищенных протоколов передачи данных. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.2.3.1 Система хранения данных; и др..";"sim_stack.json; gz_x500_model_spec.json; telemetry.jsonl; protocol_events.jsonl; security_events.jsonl; параметры PX4; миссия PX4";"F8, F10";"Условно актуальна";"proxy_emulation";"storage_integrity_proxy";"scenarios/attack_mission_overwrite.py";"mission_write_attempt, mission_plan_changed, px4_param_changed";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"134";"УБИ.2.4.4";"2";"4";"4";"Хранилище конфигурации, миссии и журналов";"Угроза несанкционированного доступа к устройству хранения данных за счет внедрения вредоносного программного обеспечения";"Нарушитель воздействует на хранилище журналов полета, параметров, резервных копий или SD-карта. Способ: СП.4 Внедрение вредоносного программного обеспечения. Техники: СП.4.2 Внедрение вредоносного программного обеспечения через съемные носители информации; СП.4.4 Внедрение вредоносного программного обеспечения через сетевое взаимодействие; и др.. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.2.3.1 Система хранения данных.";"sim_stack.json; gz_x500_model_spec.json; telemetry.jsonl; protocol_events.jsonl; security_events.jsonl; параметры PX4; миссия PX4";"F8, F10";"Условно актуальна";"proxy_emulation";"storage_integrity_proxy";"scenarios/attack_mission_overwrite.py";"mission_write_attempt, mission_plan_changed, px4_param_changed";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"135";"УБИ.2.4.5";"2";"4";"5";"Хранилище конфигурации, миссии и журналов";"Угроза несанкционированного доступа к устройству хранения данных за счет внедрения программных и аппаратных закладок";"Нарушитель воздействует на хранилище журналов полета, параметров, резервных копий или SD-карта. Способ: СП.5 Внедрение программных и аппаратных закладок. Техники: СП.5.4 Внедрение аппаратных закладок; СП.5.7 Внедрение закладок в микропрограммное обеспечение. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.2.3.1 Система хранения данных; и др..";"sim_stack.json; gz_x500_model_spec.json; telemetry.jsonl; protocol_events.jsonl; security_events.jsonl; параметры PX4; миссия PX4";"F8, F10";"Условно актуальна";"proxy_emulation";"storage_integrity_proxy";"scenarios/attack_mission_overwrite.py";"mission_write_attempt, mission_plan_changed, px4_param_changed";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"136";"УБИ.2.4.7";"2";"4";"7";"Хранилище конфигурации, миссии и журналов";"Угроза несанкционированного доступа к устройству хранения данных за счет прослушивания (захвата) сетевого трафика";"Нарушитель воздействует на хранилище журналов полета, параметров, резервных копий или SD-карта. Способ: СП.7 Прослушивание (захват) сетевого трафика. Техники: СП.7.1 Прослушивание интерфейсов сети; СП.7.2 Подключение устройства перехвата в разрыв канала передачи данных; и др.. Компоненты: К.2.2.8 Сетевой интерфейс; К.3.1.1 Проводной канал передачи данных.";"sim_stack.json; gz_x500_model_spec.json; telemetry.jsonl; protocol_events.jsonl; security_events.jsonl; параметры PX4; миссия PX4";"F8, F10";"Условно актуальна";"proxy_emulation";"storage_integrity_proxy";"scenarios/attack_mission_overwrite.py";"mission_write_attempt, mission_plan_changed, px4_param_changed";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"137";"УБИ.2.4.10";"2";"4";"10";"Хранилище конфигурации, миссии и журналов";"Угроза несанкционированного доступа к устройству хранения данных за счет атаки типа ""человек посередине""";"Нарушитель воздействует на хранилище журналов полета, параметров, резервных копий или SD-карта. Способ: СП.10 Атака типа ""человек посередине"". Техники: СП.10.1 Атака типа ""человек посередине"" через HTTP-запросы; СП.10.2 Атака типа ""человек посередине"" через TLS/SSL-запросы; и др.. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.3.1.1 Проводной канал передачи данных.";"sim_stack.json; gz_x500_model_spec.json; telemetry.jsonl; protocol_events.jsonl; security_events.jsonl; параметры PX4; миссия PX4";"F8, F10";"Условно актуальна";"proxy_emulation";"storage_integrity_proxy";"scenarios/attack_mission_overwrite.py";"mission_write_attempt, mission_plan_changed, px4_param_changed";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"138";"УБИ.2.4.13";"2";"4";"13";"Хранилище конфигурации, миссии и журналов";"Угроза несанкционированного доступа к устройству хранения данных за счет реализации социальной инженерии";"Нарушитель воздействует на хранилище журналов полета, параметров, резервных копий или SD-карта. Способ: СП.13 Реализация социальной инженерии. Техники: СП.13.1 Целенаправленная рассылка через рассылку рекламных писем (спам-сообщений); СП.13.2 Атаки через социальные сети; и др.. Компоненты: К.4.2.1 Непривилегированный сотрудник.";"sim_stack.json; gz_x500_model_spec.json; telemetry.jsonl; protocol_events.jsonl; security_events.jsonl; параметры PX4; миссия PX4";"F8, F10";"Условно актуальна";"proxy_emulation";"storage_integrity_proxy";"scenarios/attack_mission_overwrite.py";"mission_write_attempt, mission_plan_changed, px4_param_changed";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"139";"УБИ.2.4.16";"2";"4";"16";"Хранилище конфигурации, миссии и журналов";"Угроза несанкционированного доступа к устройству хранения данных за счет нарушения изоляции";"Нарушитель воздействует на хранилище журналов полета, параметров, резервных копий или SD-карта. Способ: СП.16 Нарушение изоляции. Техники: СП.16.3 Нарушение сетевой изоляции. Компоненты: К.3.1.1 Проводной канал передачи данных.";"sim_stack.json; gz_x500_model_spec.json; telemetry.jsonl; protocol_events.jsonl; security_events.jsonl; параметры PX4; миссия PX4";"F8, F10";"Условно актуальна";"proxy_emulation";"storage_integrity_proxy";"scenarios/attack_mission_overwrite.py";"mission_write_attempt, mission_plan_changed, px4_param_changed";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"140";"УБИ.2.4.17";"2";"4";"17";"Хранилище конфигурации, миссии и журналов";"Угроза несанкционированного доступа к устройству хранения данных за счет подбора (восстановления) аутентификационной информации";"Нарушитель воздействует на хранилище журналов полета, параметров, резервных копий или SD-карта. Способ: СП.17 Подбор (восстановление) аутентификационной информации. Техники: СП.17.1 Перебор паролей к учетной записи; СП.17.2 Перебор пользователей к паролю (Password Spraying); и др.. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.2.3.1 Система хранения данных; и др..";"sim_stack.json; gz_x500_model_spec.json; telemetry.jsonl; protocol_events.jsonl; security_events.jsonl; параметры PX4; миссия PX4";"F8, F10";"Условно актуальна";"proxy_emulation";"storage_integrity_proxy";"scenarios/attack_mission_overwrite.py";"mission_write_attempt, mission_plan_changed, px4_param_changed";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"141";"УБИ.2.4.18";"2";"4";"18";"Хранилище конфигурации, миссии и журналов";"Угроза несанкционированного доступа к устройству хранения данных за счет использования недостатков механизмов разграничения доступа";"Нарушитель воздействует на хранилище журналов полета, параметров, резервных копий или SD-карта. Способ: СП.18 Использование недостатков механизмов разграничения доступа. Техники: СП.18.1 Доступ без авторизации; СП.18.2 Использование ошибок или отсутствия проверки прав доступа. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма).";"sim_stack.json; gz_x500_model_spec.json; telemetry.jsonl; protocol_events.jsonl; security_events.jsonl; параметры PX4; миссия PX4";"F8, F10";"Условно актуальна";"proxy_emulation";"storage_integrity_proxy";"scenarios/attack_mission_overwrite.py";"mission_write_attempt, mission_plan_changed, px4_param_changed";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"142";"УБИ.2.4.23";"2";"4";"23";"Хранилище конфигурации, миссии и журналов";"Угроза несанкционированного доступа к устройству хранения данных за счет модификации (подмены) прошивки (микропрограммы)";"Нарушитель воздействует на хранилище журналов полета, параметров, резервных копий или SD-карта. Способ: СП.23 Модификация (подмена) прошивки (микропрограммы). Техники: СП.23.1 Подмена прошивки (микропрограммы); СП.23.2 Модификация прошивки (микропрограммы). Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма).";"sim_stack.json; gz_x500_model_spec.json; telemetry.jsonl; protocol_events.jsonl; security_events.jsonl; параметры PX4; миссия PX4";"F8, F10";"Условно актуальна";"proxy_emulation";"storage_integrity_proxy";"scenarios/attack_mission_overwrite.py";"mission_write_attempt, mission_plan_changed, px4_param_changed";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"143";"УБИ.2.4.24";"2";"4";"24";"Хранилище конфигурации, миссии и журналов";"Угроза несанкционированного доступа к устройству хранения данных за счет физического воздействия";"Нарушитель воздействует на хранилище журналов полета, параметров, резервных копий или SD-карта. Способ: СП.24 Физическое воздействие. Техники: СП.24.2 Внесение изменений в конфигурацию на уровне оборудования. Компоненты: К.2.3.1 Система хранения данных; К.2.3.2 Съемный машинный носитель информации.";"sim_stack.json; gz_x500_model_spec.json; telemetry.jsonl; protocol_events.jsonl; security_events.jsonl; параметры PX4; миссия PX4";"F8, F10";"Условно актуальна";"proxy_emulation";"storage_integrity_proxy";"scenarios/attack_mission_overwrite.py";"mission_write_attempt, mission_plan_changed, px4_param_changed";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"144";"УБИ.2.4.25";"2";"4";"25";"Хранилище конфигурации, миссии и журналов";"Угроза несанкционированного доступа к устройству хранения данных за счет атаки на системы с распределенным реестром";"Нарушитель воздействует на хранилище журналов полета, параметров, резервных копий или SD-карта. Способ: СП.25 Атаки на системы с распределенным реестром. Техники: СП.25.1 Атаки на механизмы идентификации участников системы распределенного реестра; СП.25.4 Атаки на услуги системы с распределенным реестром. Компоненты: К.2.2.8 Сетевой интерфейс; К.2.3.1 Система хранения данных; и др..";"sim_stack.json; gz_x500_model_spec.json; telemetry.jsonl; protocol_events.jsonl; security_events.jsonl; параметры PX4; миссия PX4";"F8, F10";"Условно актуальна";"proxy_emulation";"storage_integrity_proxy";"scenarios/attack_mission_overwrite.py";"mission_write_attempt, mission_plan_changed, px4_param_changed";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"145";"УБИ.2.4.26";"2";"4";"26";"Хранилище конфигурации, миссии и журналов";"Угроза несанкционированного доступа к устройству хранения данных за счет воздействия через системы хранения и резервирования данных";"Нарушитель воздействует на хранилище журналов полета, параметров, резервных копий или SD-карта. Способ: СП.26 Воздействие через системы хранения и резервирования данных. Техники: СП.26.1 Воздействие на поставщика услуг системы хранения данных; СП.26.4 Удаление (изменение, шифрование) данных в системе резервирования; и др.. Компоненты: К.2.3.1 Система хранения данных; К.3.1.1 Проводной канал передачи данных.";"sim_stack.json; gz_x500_model_spec.json; telemetry.jsonl; protocol_events.jsonl; security_events.jsonl; параметры PX4; миссия PX4";"F8, F10";"Условно актуальна";"proxy_emulation";"storage_integrity_proxy";"scenarios/attack_mission_overwrite.py";"mission_write_attempt, mission_plan_changed, px4_param_changed";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"146";"УБИ.2.5.1";"2";"5";"1";"Companion / API-контур / условный IoT-компонент";"Угроза несанкционированного доступа к устройству интернета-вещей за счет эксплуатации уязвимостей";"Нарушитель воздействует на бортовой контур БАС: Pixhawk 6C, PX4, телеметрический модуль, IoT/companion-компонент при наличии. Способ: СП.1 Эксплуатация уязвимостей. Техники: СП.1.1 Эксплуатация известных уязвимостей; СП.1.2 Эксплуатация уязвимостей ""нулевого дня"". Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система; и др..";"Категория «устройство интернета вещей» есть в docx; в проекте подтверждены Holybro X500 v2, Pixhawk 6C, gz_x500 и PX4 SITL; точное сопоставление я не могу подтвердить";"";"Условно актуальна";"proxy_emulation_with_component_gap";"companion_control_proxy";"scenarios/attack_param_tamper.py";"command_burst, param_write_attempt, mission_write_attempt";"Отдельный IoT-компонент в проекте не подтвержден; покрытие строится через подтвержденный API-канал MavlinkGateway."
"147";"УБИ.2.5.2";"2";"5";"2";"Companion / API-контур / условный IoT-компонент";"Угроза несанкционированного доступа к устройству интернета-вещей за счет использования недостатков конфигурации";"Нарушитель воздействует на бортовой контур БАС: Pixhawk 6C, PX4, телеметрический модуль, IoT/companion-компонент при наличии. Способ: СП.2 Использование недостатков конфигурации. Техники: СП.2.1 Использование недостатков, связанных с неполнотой проверки вводимых (входных) данных; СП.2.2 Использование недостатков, связанных с управлением учетными данными; и др.. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система; и др..";"Категория «устройство интернета вещей» есть в docx; в проекте подтверждены Holybro X500 v2, Pixhawk 6C, gz_x500 и PX4 SITL; точное сопоставление я не могу подтвердить";"";"Условно актуальна";"proxy_emulation_with_component_gap";"companion_control_proxy";"scenarios/attack_param_tamper.py";"command_burst, param_write_attempt, mission_write_attempt";"Отдельный IoT-компонент в проекте не подтвержден; покрытие строится через подтвержденный API-канал MavlinkGateway."
"148";"УБИ.2.5.3";"2";"5";"3";"Companion / API-контур / условный IoT-компонент";"Угроза несанкционированного доступа к устройству интернета-вещей за счет использования недостатков архитектуры";"Нарушитель воздействует на бортовой контур БАС: Pixhawk 6C, PX4, телеметрический модуль, IoT/companion-компонент при наличии. Способ: СП.3 Использование недостатков архитектуры. Техники: СП.3.1 Эксплуатация недостатков незащищенных протоколов передачи данных. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.3.1 Системные и сетевые службы; и др..";"Категория «устройство интернета вещей» есть в docx; в проекте подтверждены Holybro X500 v2, Pixhawk 6C, gz_x500 и PX4 SITL; точное сопоставление я не могу подтвердить";"";"Условно актуальна";"proxy_emulation_with_component_gap";"companion_control_proxy";"scenarios/attack_param_tamper.py";"command_burst, param_write_attempt, mission_write_attempt";"Отдельный IoT-компонент в проекте не подтвержден; покрытие строится через подтвержденный API-канал MavlinkGateway."
"149";"УБИ.2.5.4";"2";"5";"4";"Companion / API-контур / условный IoT-компонент";"Угроза несанкционированного доступа к устройству интернета-вещей за счет внедрения вредоносного программного обеспечения";"Нарушитель воздействует на бортовой контур БАС: Pixhawk 6C, PX4, телеметрический модуль, IoT/companion-компонент при наличии. Способ: СП.4 Внедрение вредоносного программного обеспечения. Техники: СП.4.1 Внедрение вредоносного программного обеспечения через электронную почту; СП.4.2 Внедрение вредоносного программного обеспечения через съемные носители информации; и др.. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система; и др..";"Категория «устройство интернета вещей» есть в docx; в проекте подтверждены Holybro X500 v2, Pixhawk 6C, gz_x500 и PX4 SITL; точное сопоставление я не могу подтвердить";"";"Условно актуальна";"proxy_emulation_with_component_gap";"companion_control_proxy";"scenarios/attack_param_tamper.py";"command_burst, param_write_attempt, mission_write_attempt";"Отдельный IoT-компонент в проекте не подтвержден; покрытие строится через подтвержденный API-канал MavlinkGateway."
"150";"УБИ.2.5.5";"2";"5";"5";"Companion / API-контур / условный IoT-компонент";"Угроза несанкционированного доступа к устройству интернета-вещей за счет внедрения программных и аппаратных закладок";"Нарушитель воздействует на бортовой контур БАС: Pixhawk 6C, PX4, телеметрический модуль, IoT/companion-компонент при наличии. Способ: СП.5 Внедрение программных и аппаратных закладок. Техники: СП.5.2 Внедрение закладок, являющихся драйверами устройств; СП.5.3 Внедрение закладок, имитирующих интерфейсы служебных программ; и др.. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система.";"Категория «устройство интернета вещей» есть в docx; в проекте подтверждены Holybro X500 v2, Pixhawk 6C, gz_x500 и PX4 SITL; точное сопоставление я не могу подтвердить";"";"Условно актуальна";"proxy_emulation_with_component_gap";"companion_control_proxy";"scenarios/attack_param_tamper.py";"command_burst, param_write_attempt, mission_write_attempt";"Отдельный IoT-компонент в проекте не подтвержден; покрытие строится через подтвержденный API-канал MavlinkGateway."
"151";"УБИ.2.5.7";"2";"5";"7";"Companion / API-контур / условный IoT-компонент";"Угроза несанкционированного доступа к устройству интернета-вещей за счет прослушивания (захвата) сетевого трафика";"Нарушитель воздействует на бортовой контур БАС: Pixhawk 6C, PX4, телеметрический модуль, IoT/companion-компонент при наличии. Способ: СП.7 Прослушивание (захват) сетевого трафика. Техники: СП.7.1 Прослушивание интерфейсов сети; СП.7.2 Подключение устройства перехвата в разрыв канала передачи данных; и др.. Компоненты: К.2.2.8 Сетевой интерфейс; К.3.1.1 Проводной канал передачи данных; и др..";"Категория «устройство интернета вещей» есть в docx; в проекте подтверждены Holybro X500 v2, Pixhawk 6C, gz_x500 и PX4 SITL; точное сопоставление я не могу подтвердить";"";"Условно актуальна";"proxy_emulation_with_component_gap";"companion_control_proxy";"scenarios/attack_param_tamper.py";"command_burst, param_write_attempt, mission_write_attempt";"Отдельный IoT-компонент в проекте не подтвержден; покрытие строится через подтвержденный API-канал MavlinkGateway."
"152";"УБИ.2.5.10";"2";"5";"10";"Companion / API-контур / условный IoT-компонент";"Угроза несанкционированного доступа к устройству интернета-вещей за счет атаки типа ""человек посередине""";"Нарушитель воздействует на бортовой контур БАС: Pixhawk 6C, PX4, телеметрический модуль, IoT/companion-компонент при наличии. Способ: СП.10 Атака типа ""человек посередине"". Техники: СП.10.1 Атака типа ""человек посередине"" через HTTP-запросы; СП.10.2 Атака типа ""человек посередине"" через TLS/SSL-запросы; и др.. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система; и др..";"Категория «устройство интернета вещей» есть в docx; в проекте подтверждены Holybro X500 v2, Pixhawk 6C, gz_x500 и PX4 SITL; точное сопоставление я не могу подтвердить";"";"Условно актуальна";"proxy_emulation_with_component_gap";"companion_control_proxy";"scenarios/attack_param_tamper.py";"command_burst, param_write_attempt, mission_write_attempt";"Отдельный IoT-компонент в проекте не подтвержден; покрытие строится через подтвержденный API-канал MavlinkGateway."
"153";"УБИ.2.5.13";"2";"5";"13";"Companion / API-контур / условный IoT-компонент";"Угроза несанкционированного доступа к устройству интернета-вещей за счет реализации социальной инженерии";"Нарушитель воздействует на бортовой контур БАС: Pixhawk 6C, PX4, телеметрический модуль, IoT/companion-компонент при наличии. Способ: СП.13 Реализация социальной инженерии. Техники: СП.13.1 Целенаправленная рассылка через рассылку рекламных писем (спам-сообщений); СП.13.2 Атаки через социальные сети; и др.. Компоненты: К.4.2.1 Непривилегированный сотрудник.";"Категория «устройство интернета вещей» есть в docx; в проекте подтверждены Holybro X500 v2, Pixhawk 6C, gz_x500 и PX4 SITL; точное сопоставление я не могу подтвердить";"";"Условно актуальна";"proxy_emulation_with_component_gap";"companion_control_proxy";"scenarios/attack_param_tamper.py";"command_burst, param_write_attempt, mission_write_attempt";"Отдельный IoT-компонент в проекте не подтвержден; покрытие строится через подтвержденный API-канал MavlinkGateway."
"154";"УБИ.2.5.16";"2";"5";"16";"Companion / API-контур / условный IoT-компонент";"Угроза несанкционированного доступа к устройству интернета-вещей за счет нарушения изоляции";"Нарушитель воздействует на бортовой контур БАС: Pixhawk 6C, PX4, телеметрический модуль, IoT/companion-компонент при наличии. Способ: СП.16 Нарушение изоляции. Техники: СП.16.2 Нарушение изоляции процессов; СП.16.3 Нарушение сетевой изоляции. Компоненты: К.1.2.1 Операционная система; К.3.1.1 Проводной канал передачи данных; и др..";"Категория «устройство интернета вещей» есть в docx; в проекте подтверждены Holybro X500 v2, Pixhawk 6C, gz_x500 и PX4 SITL; точное сопоставление я не могу подтвердить";"";"Условно актуальна";"proxy_emulation_with_component_gap";"companion_control_proxy";"scenarios/attack_param_tamper.py";"command_burst, param_write_attempt, mission_write_attempt";"Отдельный IoT-компонент в проекте не подтвержден; покрытие строится через подтвержденный API-канал MavlinkGateway."
"155";"УБИ.2.5.17";"2";"5";"17";"Companion / API-контур / условный IoT-компонент";"Угроза несанкционированного доступа к устройству интернета-вещей за счет подбора (восстановления) аутентификационной информации";"Нарушитель воздействует на бортовой контур БАС: Pixhawk 6C, PX4, телеметрический модуль, IoT/companion-компонент при наличии. Способ: СП.17 Подбор (восстановление) аутентификационной информации. Техники: СП.17.1 Перебор паролей к учетной записи; СП.17.2 Перебор пользователей к паролю (Password Spraying); и др.. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система; и др..";"Категория «устройство интернета вещей» есть в docx; в проекте подтверждены Holybro X500 v2, Pixhawk 6C, gz_x500 и PX4 SITL; точное сопоставление я не могу подтвердить";"";"Условно актуальна";"proxy_emulation_with_component_gap";"companion_control_proxy";"scenarios/attack_param_tamper.py";"command_burst, param_write_attempt, mission_write_attempt";"Отдельный IoT-компонент в проекте не подтвержден; покрытие строится через подтвержденный API-канал MavlinkGateway."
"156";"УБИ.2.5.18";"2";"5";"18";"Companion / API-контур / условный IoT-компонент";"Угроза несанкционированного доступа к устройству интернета-вещей за счет использования недостатков механизмов разграничения доступа";"Нарушитель воздействует на бортовой контур БАС: Pixhawk 6C, PX4, телеметрический модуль, IoT/companion-компонент при наличии. Способ: СП.18 Использование недостатков механизмов разграничения доступа. Техники: СП.18.1 Доступ без авторизации; СП.18.2 Использование ошибок или отсутствия проверки прав доступа. Компоненты: К.1.1.1 Прошивка (встроенная микропрограмма); К.1.2.1 Операционная система; и др..";"Категория «устройство интернета вещей» есть в docx; в проекте подтверждены Holybro X500 v2, Pixhawk 6C, gz_x500 и PX4 SITL; точное сопоставление я не могу подтвердить";"";"Условно актуальна";"proxy_emulation_with_component_gap";"companion_control_proxy";"scenarios/attack_param_tamper.py";"command_burst, param_write_attempt, mission_write_attempt";"Отдельный IoT-компонент в проекте не подтвержден; покрытие строится через подтвержденный API-канал MavlinkGateway."
