"row_no";"threat_id";"threat";"emulation_profile";"coverage_mode";"detector_rules";"native_anchor";"flow_ids";"coverage_log";"profile_logs";"component_note"
"97";"УБИ.2.1.19";"Угроза несанкционированного доступа к автоматизированному рабочему месту за счет модификации операционной системы (подмена системных файлов, внедрение вредоносного кода в системные процессы и ядро операционной системы)";"operator_workstation_proxy";"proxy_emulation";"command_burst, arm_command_burst, gateway_blocked_command";"scenarios/attack_arm_disarm_flap.py";"F1, F2, F4, F9";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"98";"УБИ.2.1.23";"Угроза несанкционированного доступа к автоматизированному рабочему месту за счет модификации (подмены) прошивки (микропрограммы)";"operator_workstation_proxy";"proxy_emulation";"command_burst, arm_command_burst, gateway_blocked_command";"scenarios/attack_arm_disarm_flap.py";"F1, F2, F4, F9";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"99";"УБИ.2.1.24";"Угроза несанкционированного доступа к автоматизированному рабочему месту за счет физического воздействия";"operator_workstation_proxy";"proxy_emulation";"command_burst, arm_command_burst, gateway_blocked_command";"scenarios/attack_arm_disarm_flap.py";"F1, F2, F4, F9";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"100";"УБИ.2.1.25";"Угроза несанкционированного доступа к автоматизированному рабочему месту за счет атаки на системы с распределенным реестром";"operator_workstation_proxy";"proxy_emulation";"command_burst, arm_command_burst, gateway_blocked_command";"scenarios/attack_arm_disarm_flap.py";"F1, F2, F4, F9";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"101";"УБИ.2.1.26";"Угроза несанкционированного доступа к автоматизированному рабочему месту за счет воздействия через системы хранения и резервирования данных";"operator_workstation_proxy";"proxy_emulation";"command_burst, arm_command_burst, gateway_blocked_command";"scenarios/attack_arm_disarm_flap.py";"F1, F2, F4, F9";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденный операторский контур QGroundControl -> MavlinkGateway -> PX4 SITL."
"102";"УБИ.2.2.1";"Угроза несанкционированного доступа к серверу за счет эксплуатации уязвимостей";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"103";"УБИ.2.2.2";"Угроза несанкционированного доступа к серверу за счет использования недостатков конфигурации";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"104";"УБИ.2.2.3";"Угроза несанкционированного доступа к серверу за счет использования недостатков архитектуры";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"105";"УБИ.2.2.4";"Угроза несанкционированного доступа к серверу за счет внедрения вредоносного программного обеспечения";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"106";"УБИ.2.2.5";"Угроза несанкционированного доступа к серверу за счет внедрения программных и аппаратных закладок";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"107";"УБИ.2.2.7";"Угроза несанкционированного доступа к серверу за счет прослушивания (захвата) сетевого трафика";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"108";"УБИ.2.2.10";"Угроза несанкционированного доступа к серверу за счет атаки типа ""человек посередине""";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"109";"УБИ.2.2.13";"Угроза несанкционированного доступа к серверу за счет реализации социальной инженерии";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"110";"УБИ.2.2.16";"Угроза несанкционированного доступа к серверу за счет нарушения изоляции";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"111";"УБИ.2.2.17";"Угроза несанкционированного доступа к серверу за счет подбора (восстановления) аутентификационной информации";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"112";"УБИ.2.2.18";"Угроза несанкционированного доступа к серверу за счет использования недостатков механизмов разграничения доступа";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"113";"УБИ.2.2.19";"Угроза несанкционированного доступа к серверу за счет модификации операционной системы (подмена системных файлов, внедрение вредоносного кода в системные процессы и ядро операционной системы)";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"114";"УБИ.2.2.25";"Угроза несанкционированного доступа к серверу за счет атаки на системы с распределенным реестром";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"115";"УБИ.2.2.26";"Угроза несанкционированного доступа к серверу за счет воздействия через системы хранения и резервирования данных";"server_monitoring_proxy";"proxy_emulation";"param_write_attempt, px4_param_changed, mission_write_attempt";"scenarios/attack_param_tamper.py";"F7, F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные модули TelemetryCollector, StateGuard, ThreatDetector, RiskEngine и AuditLogger."
"116";"УБИ.2.3.1";"Угроза несанкционированного доступа к периферийному оборудованию за счет эксплуатации уязвимостей";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"117";"УБИ.2.3.2";"Угроза несанкционированного доступа к периферийному оборудованию за счет использования недостатков конфигурации";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"118";"УБИ.2.3.3";"Угроза несанкционированного доступа к периферийному оборудованию за счет использования недостатков архитектуры";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"119";"УБИ.2.3.4";"Угроза несанкционированного доступа к периферийному оборудованию за счет внедрения вредоносного программного обеспечения";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"120";"УБИ.2.3.5";"Угроза несанкционированного доступа к периферийному оборудованию за счет внедрения программных и аппаратных закладок";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"121";"УБИ.2.3.7";"Угроза несанкционированного доступа к периферийному оборудованию за счет прослушивания (захвата) сетевого трафика";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"122";"УБИ.2.3.10";"Угроза несанкционированного доступа к периферийному оборудованию за счет атаки типа ""человек посередине""";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"123";"УБИ.2.3.13";"Угроза несанкционированного доступа к периферийному оборудованию за счет реализации социальной инженерии";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"124";"УБИ.2.3.16";"Угроза несанкционированного доступа к периферийному оборудованию за счет нарушения изоляции";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"125";"УБИ.2.3.17";"Угроза несанкционированного доступа к периферийному оборудованию за счет подбора (восстановления) аутентификационной информации";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"126";"УБИ.2.3.18";"Угроза несанкционированного доступа к периферийному оборудованию за счет использования недостатков механизмов разграничения доступа";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"127";"УБИ.2.3.23";"Угроза несанкционированного доступа к периферийному оборудованию за счет модификации (подмены) прошивки (микропрограммы)";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"128";"УБИ.2.3.24";"Угроза несанкционированного доступа к периферийному оборудованию за счет физического воздействия";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"129";"УБИ.2.3.25";"Угроза несанкционированного доступа к периферийному оборудованию за счет атаки на системы с распределенным реестром";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"130";"УБИ.2.3.26";"Угроза несанкционированного доступа к периферийному оборудованию за счет воздействия через системы хранения и резервирования данных";"peripheral_navigation_proxy";"proxy_emulation_with_component_gap";"position_jump, gps_degraded, health_loss, battery_low";"scenarios/attack_navigation_excursion.py";"F5, F6";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/telemetry.jsonl | logs/threat_coverage_all/security_events.jsonl";"В проекте отдельно подтверждены только navsat, imu, magnetometer, air_pressure и 4 motor channels; полный состав периферии из исходного файла не подтвержден."
"131";"УБИ.2.4.1";"Угроза несанкционированного доступа к устройству хранения данных за счет эксплуатации уязвимостей";"storage_integrity_proxy";"proxy_emulation";"mission_write_attempt, mission_plan_changed, px4_param_changed";"scenarios/attack_mission_overwrite.py";"F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"132";"УБИ.2.4.2";"Угроза несанкционированного доступа к устройству хранения данных за счет использования недостатков конфигурации";"storage_integrity_proxy";"proxy_emulation";"mission_write_attempt, mission_plan_changed, px4_param_changed";"scenarios/attack_mission_overwrite.py";"F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"133";"УБИ.2.4.3";"Угроза несанкционированного доступа к устройству хранения данных за счет использования недостатков архитектуры";"storage_integrity_proxy";"proxy_emulation";"mission_write_attempt, mission_plan_changed, px4_param_changed";"scenarios/attack_mission_overwrite.py";"F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"134";"УБИ.2.4.4";"Угроза несанкционированного доступа к устройству хранения данных за счет внедрения вредоносного программного обеспечения";"storage_integrity_proxy";"proxy_emulation";"mission_write_attempt, mission_plan_changed, px4_param_changed";"scenarios/attack_mission_overwrite.py";"F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"135";"УБИ.2.4.5";"Угроза несанкционированного доступа к устройству хранения данных за счет внедрения программных и аппаратных закладок";"storage_integrity_proxy";"proxy_emulation";"mission_write_attempt, mission_plan_changed, px4_param_changed";"scenarios/attack_mission_overwrite.py";"F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"136";"УБИ.2.4.7";"Угроза несанкционированного доступа к устройству хранения данных за счет прослушивания (захвата) сетевого трафика";"storage_integrity_proxy";"proxy_emulation";"mission_write_attempt, mission_plan_changed, px4_param_changed";"scenarios/attack_mission_overwrite.py";"F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"137";"УБИ.2.4.10";"Угроза несанкционированного доступа к устройству хранения данных за счет атаки типа ""человек посередине""";"storage_integrity_proxy";"proxy_emulation";"mission_write_attempt, mission_plan_changed, px4_param_changed";"scenarios/attack_mission_overwrite.py";"F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"138";"УБИ.2.4.13";"Угроза несанкционированного доступа к устройству хранения данных за счет реализации социальной инженерии";"storage_integrity_proxy";"proxy_emulation";"mission_write_attempt, mission_plan_changed, px4_param_changed";"scenarios/attack_mission_overwrite.py";"F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"139";"УБИ.2.4.16";"Угроза несанкционированного доступа к устройству хранения данных за счет нарушения изоляции";"storage_integrity_proxy";"proxy_emulation";"mission_write_attempt, mission_plan_changed, px4_param_changed";"scenarios/attack_mission_overwrite.py";"F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"140";"УБИ.2.4.17";"Угроза несанкционированного доступа к устройству хранения данных за счет подбора (восстановления) аутентификационной информации";"storage_integrity_proxy";"proxy_emulation";"mission_write_attempt, mission_plan_changed, px4_param_changed";"scenarios/attack_mission_overwrite.py";"F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"141";"УБИ.2.4.18";"Угроза несанкционированного доступа к устройству хранения данных за счет использования недостатков механизмов разграничения доступа";"storage_integrity_proxy";"proxy_emulation";"mission_write_attempt, mission_plan_changed, px4_param_changed";"scenarios/attack_mission_overwrite.py";"F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"142";"УБИ.2.4.23";"Угроза несанкционированного доступа к устройству хранения данных за счет модификации (подмены) прошивки (микропрограммы)";"storage_integrity_proxy";"proxy_emulation";"mission_write_attempt, mission_plan_changed, px4_param_changed";"scenarios/attack_mission_overwrite.py";"F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"143";"УБИ.2.4.24";"Угроза несанкционированного доступа к устройству хранения данных за счет физического воздействия";"storage_integrity_proxy";"proxy_emulation";"mission_write_attempt, mission_plan_changed, px4_param_changed";"scenarios/attack_mission_overwrite.py";"F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"144";"УБИ.2.4.25";"Угроза несанкционированного доступа к устройству хранения данных за счет атаки на системы с распределенным реестром";"storage_integrity_proxy";"proxy_emulation";"mission_write_attempt, mission_plan_changed, px4_param_changed";"scenarios/attack_mission_overwrite.py";"F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
"145";"УБИ.2.4.26";"Угроза несанкционированного доступа к устройству хранения данных за счет воздействия через системы хранения и резервирования данных";"storage_integrity_proxy";"proxy_emulation";"mission_write_attempt, mission_plan_changed, px4_param_changed";"scenarios/attack_mission_overwrite.py";"F8, F10";"logs/threat_coverage_all/threat_coverage.jsonl";"logs/threat_coverage_all/threat_coverage.jsonl | logs/threat_coverage_all/protocol_events.jsonl | logs/threat_coverage_all/security_events.jsonl";"Покрытие строится через подтвержденные JSONL-журналы, снимки параметров PX4 и контроль миссии в StateGuard."
